10000,1.469006e-03,1,1.060175e+00,10000,1.523308e-03,2,1.022382e+00,10000,1.642251e-03,4,9.483343e-01,10000,1.711772e-03,8,9.098192e-01,10000,1.929924e-03,16,8.069763e-01,10000,2.128979e-03,7.315258e-01,10000,3.131736e-02,32,4.972971e-02
100000,1.545833e-02,1,1.041514e+00,100000,1.324892e-02,2,1.215198e+00,100000,1.353142e-02,4,1.189828e+00,100000,1.511091e-02,8,1.065460e+00,100000,1.374556e-02,16,1.171293e+00,100000,1.381669e-02,1.165262e+00,100000,1.508908e-02,32,1.067002e+00
1000000,1.740080e-01,1,1.055339e+00,1000000,8.612517e-02,2,2.132215e+00,1000000,4.750193e-02,4,3.865893e+00,1000000,3.754798e-02,8,4.890739e+00,1000000,3.783259e-02,16,4.853947e+00,1000000,3.333668e-02,5.508569e+00,1000000,5.213814e-02,32,3.522132e+00
10000000,1.881523e+00,1,1.031735e+00,10000000,1.041420e+00,2,1.864026e+00,10000000,5.516646e-01,4,3.518865e+00,10000000,3.391249e-01,8,5.724243e+00,10000000,2.782623e-01,16,6.976270e+00,10000000,2.515933e-01,7.715758e+00,10000000,2.817722e-01,32,6.889370e+00
























