threads,size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,64,0.0583475,0.0571316,0.05562,0.0564648,0.057106,0.057129,0.0559982,0.0575342,0.0571046,0.0554524,
1,128,0.300618,0.300608,0.315418,0.300719,0.302118,0.30631,0.301546,0.304464,0.305599,0.301663,
1,256,1.97046,1.97213,1.97671,1.97132,1.97944,1.96823,1.98878,1.98695,1.96864,1.98208,
1,512,16.5408,16.6302,16.5637,16.7784,16.8853,16.6998,16.9046,16.5728,16.7656,16.7853,
1,1024,145.504,143.897,145.395,149.849,148.093,144.749,143.464,144.491,146.71,146.521,
2,64,0.0591963,0.0551132,0.0576384,0.0571664,0.0570348,0.0557199,0.0558261,0.055551,0.0553638,0.0558757,
2,128,0.304961,0.302842,0.305006,0.303838,0.310007,0.307805,0.304541,0.303501,0.30063,0.304501,
2,256,1.97667,1.98103,1.98344,1.97758,1.97166,1.98257,1.98101,1.97866,1.98055,1.97855,
2,512,16.5919,16.6586,16.5737,16.5399,16.5892,16.6253,16.5887,16.6243,16.7308,16.8041,
2,1024,144.212,145.492,144.534,144.854,145.364,146.016,145.501,174.8,146.283,146.595,
4,64,0.0614169,0.0548896,0.0555064,0.057242,0.0556202,0.0553565,0.0551681,0.0568025,0.0552379,0.0555553,
4,128,0.305223,0.306418,0.302919,0.29998,0.30036,0.303578,0.301485,0.302412,0.30403,0.308121,
4,256,1.9572,1.98211,1.96333,1.96409,1.96355,1.96137,1.97248,1.97065,1.96826,1.95767,
4,512,16.6891,16.5907,16.6509,16.9957,16.6111,16.6115,16.9188,16.5906,16.6549,16.8431,
4,1024,145.869,149.171,145,144.676,149.83,149.773,145.876,146.145,147.957,152.035,
8,64,0.0604675,0.0545267,0.0565766,0.0540473,0.0574236,0.0560099,0.0574534,0.0543801,0.0554816,0.0596926,
8,128,0.303145,0.304501,0.305572,0.302239,0.30521,0.306224,0.300979,0.306267,0.300084,0.306247,
8,256,1.97429,1.97117,1.97487,1.9813,1.97681,1.97606,1.9741,1.97264,1.97473,1.97278,
8,512,17.4061,17.4995,16.941,16.7859,16.7577,16.6302,16.6166,16.7439,17.3544,17.3906,
8,1024,149.41,145.872,146.483,146.946,147.859,146.439,184.341,145.724,146.82,149.51,
16,64,0.0597602,0.0560114,0.0551945,0.0557792,0.0578,0.0558471,0.0559469,0.0560852,0.058349,0.0553375,
16,128,0.303425,0.300176,0.30016,0.300654,0.300892,0.303575,0.301991,0.302523,0.301716,0.305377,
16,256,1.95962,1.96335,1.9644,1.96282,1.96143,1.97414,1.9649,1.97254,1.97434,1.9728,
16,512,16.7329,16.7584,16.6677,16.6639,16.5885,16.6869,16.802,16.7526,16.5816,17.3722,
16,1024,147.091,146.962,145.316,149.506,147.839,148.488,147.658,155.559,148.317,198.302,
24,64,0.0582242,0.0553942,0.056949,0.0550708,0.0586007,0.0579304,0.0608822,0.0609115,0.061044,0.0604723,
24,128,0.332998,0.313507,0.306726,0.308314,0.303075,0.307239,0.318764,0.319524,0.308568,0.309819,
24,256,1.97712,2.11761,2.0494,2.05378,2.03673,2.04747,2.07023,1.97373,2.11542,2.05867,
24,512,17.7635,17.404,20.3082,17.5075,18.8507,17.9596,17.7998,19.7748,17.5429,20.2269,
24,1024,148.512,148.752,159.532,147.931,155.16,159.096,155.844,161.822,147.08,146.577,
