size,processes,t1,t2,t3
128,1,0.8490222096443176,1.075965417549014,1.0278583895415068
256,1,3.60728457570076,3.370008824393153,3.3958803601562977
512,1,21.231688724830747,21.14584070444107,21.370427805930376
1024,1,179.67787952907383,179.36057632416487,178.12442651577294
128,2,0.7617126349359751,0.7592203039675951,0.842635890468955
256,2,2.5166716910898685,2.126295417547226,2.2239826023578644
512,2,10.366617191582918,10.567557139322162,10.616396069526672
1024,2,111.5539139509201,110.75107971578836,111.6741524208337
128,4,0.7017660718411207,0.7089047711342573,0.5787884499877691
256,4,1.81629922054708,1.7559088785201311,1.9469460062682629
512,4,6.618719542399049,7.084472753107548,6.9869884718209505
1024,4,40.92922896146774,40.25155299343169,39.66499866172671
128,8,0.7432008273899555,0.7244604714214802,0.7270344980061054
256,8,1.5222344007343054,1.6168273519724607,1.4734369739890099
512,8,5.256661118939519,4.814586564898491,4.950509546324611
1024,8,22.45748656243086,22.333100385963917,22.624159585684538
128,16,0.8247999884188175,0.8373196702450514,0.8504583332687616
256,16,1.4027845580130816,1.3522537555545568,1.3693013451993465
512,16,3.6698892302811146,3.483005801215768,3.7270410619676113
1024,16,19.321232682093978,21.848399098962545,19.499461479485035
128,24,0.8463522624224424,1.3472606446594,0.8464678507298231
256,24,1.8162839990109205,1.3774066846817732,1.4093687981367111
512,24,3.240105303004384,3.2180775180459023,2.9806603733450174
1024,24,11.179079581052065,11.19156027957797,11.561399769037962
128,32,0.9350602775812149,0.8962837047874928,0.8954857382923365
256,32,1.3633996807038784,1.3999356664717197,1.3585794772952795
512,32,2.75900487229228,2.8557513039559126,2.9828766621649265
1024,32,11.256873577833176,10.75753802061081,10.728055160492659
